vary_bloc,lam,sigma_US,sigma_EU,sigma_CN,sigma_RoW
US,0.5,0.23404794614502702,0.14182975522749836,0.024359033695173973,0.0007137969068263873
US,0.6323529411764706,0.22057781421491124,0.16280213203628716,0.030758741366987218,0.0008399350727054283
US,0.7647058823529411,0.2058856152421817,0.18727877597823747,0.038530175507374066,0.0009801934210043005
US,0.8970588235294118,0.19008650486101822,0.21468154693635097,0.04763289649090668,0.001127091250309183
US,1.0294117647058822,0.17353508657488978,0.24404905020197035,0.05793415439049697,0.0012730073824246207
US,1.1617647058823528,0.15679348973149138,0.2742804950068852,0.06932029316737613,0.001415062133504111
US,1.2941176470588236,0.14049904948630876,0.3043461490900554,0.0817929324009061,0.0015573625195010115
US,1.4264705882352942,0.12519401177576198,0.3333374813904219,0.09544396418459306,0.001708558401124258
US,1.5588235294117647,0.1112098515136883,0.360445639874361,0.11031204149235108,0.0018770295178359446
US,1.6911764705882353,0.09865469312140646,0.38502096391933915,0.12625432384711477,0.0020675383491054905
US,1.8235294117647058,0.08747997703819131,0.4066779140613663,0.14295363878050033,0.00228090328239555
US,1.9558823529411764,0.07756339407437671,0.42531899124223327,0.1600271673622698,0.002515417680216272
US,2.088235294117647,0.06876520014679378,0.44106610239550703,0.17712598203995622,0.00276824281011432
US,2.2205882352941178,0.0609538671507707,0.4541670412442904,0.19397653633569656,0.0030361633908182317
US,2.3529411764705883,0.054013640691898165,0.46492268808368065,0.21038042970232285,0.0033158983580568236
US,2.485294117647059,0.047844638850850246,0.4736429973492394,0.2261996023835791,0.0036042317567997087
US,2.6176470588235294,0.04236072542158738,0.4806245363535431,0.24134128513966624,0.0038980827563873536
US,2.75,0.03748711033229208,0.48614066980012133,0.25574677938233026,0.0041945444096062314
US,2.8823529411764706,0.03315826490112451,0.4904381042794981,0.2693837588893502,0.004490904801526274
US,3.014705882352941,0.029316259132653597,0.4937363741014523,0.2822409823488256,0.004784660820709013
US,3.1470588235294117,0.02590947662399181,0.49622857939273224,0.2943241936111367,0.005073536143987353
US,3.2794117647058822,0.022891641048701266,0.4980826059931355,0.305652771810026,0.005355505026970685
US,3.411764705882353,0.020221088111550458,0.49944282443864546,0.3162566826908518,0.005628814290360138
US,3.5441176470588234,0.01786021195480404,0.5004318841404439,0.32617369947825037,0.0058919970459359065
US,3.6764705882352944,0.01577504264520705,0.5011526640860038,0.33544687506407783,0.006143873245573376
US,3.808823529411765,0.013934909975130442,0.5016902832733997,0.3441223669649152,0.00638353595447224
US,3.9411764705882355,0.012312166137512777,0.5021141106120008,0.35224760239375724,0.00661032600035182
US,4.0735294117647065,0.010881943534885887,0.5024796995278028,0.35986982959875496,0.006823798772006262
US,4.205882352941177,0.009621935345399533,0.502830632786018,0.3670350260796068,0.00702369149763171
US,4.338235294117647,0.008512191345017324,0.5032002482078838,0.3737871853574799,0.00720988897044349
US,4.470588235294118,0.007534919773441803,0.5036132125558441,0.3801677227097475,0.007382393207408832
US,4.602941176470588,0.006674299703844792,0.5040869444319975,0.38621522371377026,0.007541298792011068
US,4.735294117647059,0.005916299777861803,0.5046328732900067,0.39196522908161885,0.007686770363000433
US,4.86764705882353,0.005248505889080214,0.5052575546367536,0.3974502220101559,0.007819028296659394
US,5.0,0.004659958009380062,0.5059635982968775,0.40269956385205374,0.007938334493104802
CN,0.5,0.08636729971150231,0.25119194567943975,0.26044615945719307,0.0009636515140046339
CN,0.6323529411764706,0.09222262337953427,0.26995774773867554,0.239459368098512,0.0011245856029458083
CN,0.7647058823529411,0.09690626216102581,0.2862046079833871,0.21752960250031403,0.0012650801118959186
CN,0.8970588235294118,0.10077373475882287,0.3007407355825072,0.19581638599659112,0.001389851215090563
CN,1.0294117647058822,0.10404165356456568,0.3139918468748685,0.17498292420038328,0.0015022205652083789
CN,1.1617647058823528,0.10685307114885131,0.326213203337287,0.15542832334986958,0.0016045331393418397
CN,1.2941176470588236,0.10930446174282923,0.3375694646985134,0.13737989337788672,0.0016982675661287839
CN,1.4264705882352942,0.11146149552774902,0.34817318483334597,0.12093923000326257,0.0017841726235127038
CN,1.5588235294117647,0.11336942580995685,0.3581065594099707,0.1061150987442876,0.0018624543130289202
CN,1.6911764705882353,0.11506001923015077,0.36743466780873035,0.09285193189250601,0.0019329785741236355
CN,1.8235294117647058,0.11655620629922857,0.3762138923641266,0.08105432839438677,0.00199545856314706
CN,1.9558823529411764,0.11787526612919524,0.3844974283626082,0.07060638565650706,0.002049607019145428
CN,2.088235294117647,0.119031067004581,0.3923384210470528,0.061385373141729385,0.002095244239759909
CN,2.2205882352941178,0.120035620638993,0.39979133138568324,0.053270378923046494,0.0021323613795845285
CN,2.3529411764705883,0.12090008452711666,0.40691174895336124,0.046146993463271,0.0021611428704311204
CN,2.485294117647059,0.1216352882459941,0.41375530436936947,0.03990933819687453,0.0021819568324396403
CN,2.6176470588235294,0.1222518709306739,0.42037591543983405,0.034460495333866165,0.0021953236993081664
CN,2.75,0.12276017623477066,0.4268239464255091,0.02971216590541054,0.002201874292397363
CN,2.8823529411764706,0.12317002545069797,0.4331445955493043,0.02558405745374357,0.002202304602736394
CN,3.014705882352941,0.12349049684311446,0.4393765284384283,0.02200326868898359,0.0021973356414919077
CN,3.1470588235294117,0.12372978658430069,0.4455510182366552,0.018903766954368486,0.0021876805084259285
CN,3.2794117647058822,0.12389518644416869,0.4516915622183263,0.016225970845669846,0.0021740204149189456
CN,3.411764705882353,0.12399316345259632,0.45781384419228605,0.013916382101417615,0.002156990176863046
CN,3.5441176470588234,0.12402952142200753,0.46392603686090733,0.011927239618658068,0.0021371701537294748
CN,3.6764705882352944,0.12400959003410998,0.47002944235243205,0.010216164524912785,0.0021150844503289175
CN,3.808823529411765,0.123938400248285,0.4761192924397286,0.008745775441769077,0.0020912025042054334
CN,3.9411764705882355,0.1238208451797236,0.4821856836103492,0.00748328203699455,0.002065942964127145
CN,4.0735294117647065,0.12366178200238762,0.48821462393586823,0.006400060998850781,0.002039678875462455
CN,4.205882352941177,0.12346608176023699,0.4941890678035225,0.005471227468890899,0.002012742624670142
CN,4.338235294117647,0.12323864213088381,0.5000900170454157,0.004675220618009838,0.0019854304027886746
CN,4.470588235294118,0.12298435777245907,0.5058974728631846,0.003993403890734348,0.00195800642830672
CN,4.602941176470588,0.12270807074478214,0.5115913370391437,0.0034096978954050636,0.0019307058235617615
CN,4.735294117647059,0.12241449900993744,0.5171522119354738,0.0029102456796038763,0.0019037370560761435
CN,4.86764705882353,0.12210817732017636,0.5225620485073126,0.00248311562684997,0.0018772838946530973
CN,5.0,0.12179338555260336,0.5278046105828703,0.002118034632387822,0.0018515062693606047
