phi,alpha_c,alpha_spill,alpha_d,alpha_b,objective,model_EU − US adoption gap,model_US period-1 adoption prob,model_CN period-1 adoption prob,model_CN period-2/period-1 ratio,model_US expected period-2 prob,model_Mean coord timing | success,at_bound
0.0,2.875,6.8359,0.8491,1.0845,0.010911,0.2303,0.0961,0.1762,2.2659,0.177,5.1685,False
0.1,4.2384,4.2037,1.3448,0.9476,0.003408,0.2373,0.0677,0.1158,2.0938,0.116,4.895,False
0.2,3.892,4.7793,1.0008,1.073,0.003497,0.2235,0.0715,0.1266,2.0719,0.1267,4.8853,False
0.3,3.7682,5.865,0.8344,1.0706,0.004049,0.2181,0.0694,0.129,2.1024,0.1301,4.8948,False
0.4,3.6833,6.7569,0.7276,1.0439,0.003903,0.2169,0.0707,0.13,2.1125,0.1386,4.898,False
0.5,3.5844,8.3153,0.6312,0.9496,0.00379,0.2153,0.0695,0.1281,2.1126,0.1466,4.9068,False
0.6,3.6524,8.3782,0.6052,0.9268,0.004169,0.2134,0.0684,0.1237,2.0936,0.1482,4.8489,False
0.7,3.7097,8.1488,0.5862,0.9148,0.004904,0.2112,0.0684,0.1199,2.078,0.1502,4.79,False
0.8,5.457,2.3187,1.2723,2.0813,0.019435,0.1283,0.0819,0.0844,2.0236,0.1095,4.7553,False
0.9,3.7736,7.4599,0.5557,0.8902,0.007131,0.206,0.0696,0.1145,2.0546,0.1541,4.6866,False
1.0,3.8134,6.7546,0.5507,0.9208,0.00845,0.2052,0.0719,0.1123,2.0415,0.1549,4.6323,False
